No.;komentar
390; Barang sesuai dengan pesananan,, aromanya wangi
391; wanginya enak, jg lembut.
392; barangnya sesuai dengan yg diharapkan.
393; cocok untuk urut atau pijat
394; Saya suka..terimakasih
395; Suka bgt minyak zaitun herborist ini krn wangi dan melembutkan kulit .
396; wanginya enak , baru pertama kali coba semoga cocok ...
397; Baru pertama x order , pesanan baguss dan sukaa
398; Minyak zaitunnya original
399; Cocok untuk kulit dan wajah..
400; Sukak baunya juga enk .
401; Minyak zaitun multifungsi bgt. Wangi Halus lembut di kulit Bagus bnyk kgunaan ya untuk kulit kering ..
402; Biasa untuk rmbut yg rontok bsa berkurang .. buat pijat jg enk
403; produk yang sangat baik terbukti membuat kulit lembab.
404; recomend dech...
405; Wangi okelah mudah2an cocok next time order lagi
406; bagus
407; Bisa digunakan untuk mengobati sendi yg sakit
408; Okee
409; Zaitunnya wangi enak dipakai next order kembali
410; cocok untuk membersihkan make up juga untuk pijat...
411; Aroma nya wangi...
412; Kalau mau Urut paling enak pakai minyak zaitun .  selain wangi.enak di pake
413; Cocok buat perawatan tubuh , apalagi buat ngurut2 .aroma nya GK bikin muel...
414; Baunya enak.
415; Cocok dan aman di kulit , makasih
416; bau nya wangi banget , suka
417; Gk lengket dikulit
418; Wangii baangeet
419; Paling pas kalau dikombinasikan sebelum luluran
420; Wangi aromatik bgt sukaaaa ngga lengket jg dikulit ,
421; wanginya enak buat pijat pas loveeee makasih
422; wangi buah zaitun
423; pokonya mantap
424; bisa di pake rambut juga
425; Cocok Untuk melembabkan kulit
426; Oke semua saya suka kemasannya jga oke ga lengket cocok buat kulit kering
427; Wangi bangett Efektif melembabkan kulit , nyaman banget
428; Suka mantull gaeyyss pokonya
429; Mantapp banngetlah
430; Saya sangat menyukai minyak zaitun, baunya wangi banget
431; Saya sangat menyukai minyak zaitun , baunya wangi banget
432; Baru kali ini sich mau nyoba , Inssa Allah suka krna wangi'y enak
433; Bagus banget pokoknya...
434; yaaa namanya juga minyak zaitun ya , ini tuh memang bagus banget , suka banget , dia ngilangin pecah pecah dikaki , buat bagian yang kapalan kapalan jadi memanas dan kembali ke bentuk semula , apalagi kalo dipake sebelum aplikasiin handbody lotion , beuh udahannya makin lembut tuh kulit.
435; Wangi khas minyak zaitun , tidak menyengat Aku order 10pcs dan semuanya bagus
436; Barangnya bagus fungsinya sesuai bagus banget keren banget pokoknya aku suka
437; Mantappp betullll
438; Kualitas produkk tidak diragukan lagi
439; Sangat banyak manfaat buat tubuh kita
440; Biasa saya pake buat pijit
441; Beli sudah kesekian selamanya , dengan aroma zaitun yg harum dan lembut ...
442; Cepat banget sampainya ,, minyaknya bagus buat urut
443; Perlu untuk semua agak kulit tidak kering .
444; Produk pavorite .... Kecil kecil mudah dibawa kemana mana
445; seperti wangi minyak zaitun biasanya sudah pernah dipakai dan baguss ituu
446; Mantap.
447; Minyak zaitun nya suka,  semoga cocok.
448; Bagus banget minyak zaitun nya kepake segala rupa buat pijit ataupun skincare top banget
449;" Baru pertama kali pake produk "" ini semoga cocok dan ada hasilnya"
450; Herborist minyak zaitun kulit lg kering pakai ini semoga membaik
451; semua produknya gaada yg gagal selalu bikin puas
452; suka sekali sama wanginyaaaa , bener2 nenangin , ampuh juga buat kulit kering , sukaa
453; Kualitas produk sangat baik produk originalIIIIIIIIIIII |
454; wanginya bikin ketagihan
455; Bisa digunakan untuk pijat pijat oke oke oke oke okr okeo
456; Wangi , kemasan juga cantik dan lucu , terbaik
457; bagus banget buat kulitt buat melembabkan
458; Suka banget sama wanginya thanks❤
459; Barang oke,
460; sangat Sukaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa bangeeeeetttttttttttttttttttttttttt
461; Kualitas bagus , harga murah , mantap bgt
462; Produk original .. kualitas produk sangat baik
463; Wanginya enak dan tanggalnya gak bocor
464; Bagussss
465; Gk lengket.  Bgs buat mnjt..👍🏻👍🏻👍🏻👍🏻
466; Bagus minyaknya juga wangi bgt
467; nyaman dan tidak lengket
468; suka bnget wanginya
469; Suka pake iniiii buat pemijatannn dannnnn kulit biar lembuuuttttttttttttt
470; blom dibuka sih soalnya mo buat urutt
471; Wangi dan cocok buat urut Baguss lucu wadahnya kecil ..
472; mutunya bagus karena emang selalu pakai Pruduk ini
473; Bagus ,, mantap ,, next order lagi ,, makasih
474; saya memakainya buat kalau pakai alkohol ditangan untuk sanitizer bikin tangan kering makanya diakalin dioles minyak zaitun.
475;" Yang pasti wanginya enak banget sih ini .  Kecil "" cabe rawit soal kualitas"
476; Wanginya enak.  Ini awet berbulan2 .
477;minyaknya... Wangii
478; Emang suka pakek ini minyak zaitun...enak wanginya...
479; suka bangett bangeettt
480; Wangiiiiiiiii , baru tahu ada kemasan ekonomisnya .
481; efektif melembapkan
482; Minyak zaitun wangi dan produk asli
483; Semoga bisa memudarkan stretchmark
484; wanginya enak.  Buat dioleskan ke badan sambil pijat2 sedikit bikin kulit ga kering.
485; Suka bgt pake minyak zaitun , wanginya enak .. Next order lagi
486; Botol nya kiyowooo , enak bau nya kaya bunga bunga , siiip deh
487; Buat luluran ada minyak zaitun plus beli scrubnya
488; Bagus suka bngt sama produknya cocok banget di aku pkonya mantap poll❤
489; mantap banget
490; Ternyata botolnya kecil , lumayan buat minyak urut ,
491; Wangi banget , makasih Brg oke ,
492; Bagus sesuai pesanan Harganya Juga murah mantull
493; Wangi nyaa enak kaya bau greentea sama melati
494; Produk baik .  Yg pasti suka banget sama wanginya .
495; Aku gunakan sebagai penghapus make up yg wateroof , biar lebih bersih aja kl dirasa setelah pk micellar masih ada sisa
496; Mantaplah .. murah juga , wangi banget ..
497; Minyak zaitun yg ku suka kulit jadi lembab dan awet ngak kering
498; Produknya okeeeh
499;Dulu beli minyak zaitun herborist warnanya bening tp ini kuning apa kemasan baru ??
500; Aku Sih pakai minyak zaitun buat urut bikin kulit jadi nggak kering aja.dari kecil udah pakai.terima kasih
501; Alhamdulillah bagus dan memang sering pake ini .  Mantap lah
502; bagus, pengiriman cepet, udah cocok juga sama produk ini
503; Belum dicoba tapi udah pasti bagusssss dong
504; Bisa untuk perawatan kulit harian
505; minyaknya zaitunnya harum...
506; Mau coba pertama kali , wanginya enak menurut saya , Tapi blom tau kelembutannya seperti apa
507; semoga aja cocok , soalnya baru pertama kali beli minyak zaitun
508; Bagus buat kulit dan rambut
509; Suka banget,,, original juga.. Pokiknya wangi dan lembut di kulit...
510; good enak wangi
511;oke ya terima kasih !
512; Harus pake minyak zaitun ini deh buat pijat , dan luluran ,
513; kwalitas sangat baik Pokoknya recomended banget deh
514; Dari dulu saya pakai suka sama wanginya gak bikin enek.lembut bikin kulit lembab
515; Efektif buat pijat dan aromanya oke banget
516; Kualitas produk baik , minyak nya wangi .  Terima kasih
517; Produknya bagus, baunya juga sangat wangi dan naman di kulit wajah maupun rambut
518; Harumnyaa segerrr
519; wanginya segar , efektif untuk melembutkan kulit
520; wangi nya juga enak banget suka bangett terima kasih kak
521; Suka banget sama minyak zaitun herborist ini sudah habis 3 botol lumayan bagus ya buat campuran lulur
522; bdari dulu suka pakai minyak zaitun soalnya bikin bulu mata sm alis jdi lebih tebel sedikit demi sedikit atas izin Tuhan jg pstinya woowwkkowkkwkekwks
523; aku biasa pake utk body massage , wanginya enak .  Sama dgn yg biasa aku beli di mall2 .
524; Suka banget sama produknya , kemasan botolnya kecil jd mudah buat dibawa2 .  Produk original , ada buah zaitunnya di dalam botol , pokoknya suka .
525; Wanginya kaya agak bau bau bunga apa gitu ya tp semoga bagus aja dipakenya makasih
526; Wangi produk ori.
527; Minyak zaitunnya wangi , ini udah mau habis aku pakai terus
528; Baru prtma bli merk ni mdh2n enak d pake wangi dan sesuai hrpan
529; The best wanginyaaa
530;minyak zaitunnya enaken lembut wangi gitu
531; wangi banget.  Terimakasih Bagus banget makasih ya seller next order lagi ,
532; Wanginya khas herborist bangeeeet pokonya suka lah sama minyaknya
533; Terimakasih saya suka minyak zaitun yang wangi iii .... Semoga berkah .....
534; wanginya enak soft
535; Herbosris ini cocok untuk kulit badan Agar tidak lembab .
536; Kata anak twitter bagus buat luluran jadi mau coba .  Doain semoga kulitku nda belang lagi
537; Baru tau kalo minyak zaitun wangi gini wkwkw....
538; Ada wangi wangi bunga gituuu
539; Fresshh wanginyaa sukaa
540; melembabkan, aku pake ini buat urut, atau campur scrub
541; Lumayan buat mijit kaki sang mamah , sangat membantu sekali
542; bagus , wangi dan praktis buat travel Sukses terus ya
543; Baru mau coba semoga cocok untuk kulit bayi .
544; Wangiiii bangeet
545; Pas untuk perawatan kulut kering
546; Wanginya ahhh mantap👍🏻👍🏻❤️
547; Wehh tapi enak si wanginya best tapi masih asing
548; semoga bikin kulit lembab ,
549; Semoga cocok dikulitkuu huhuhu
550; Bagus buat kulit kering dan untuk pijat
551; Wanginya enak banget
552; Mantap
553; minyak nya harum enak bgt wangi nya murah jugaaa paling worth it
554; Baguss bangett untuk kulit bisa melembabkan dan menghaluskan
555; Wanginya enak,
556; Soft aku suka
557; Ajiiib , wangiiiii , recomended lah ,
558; Minyak yang sangat berguna untuk kulit kering , kualitasnya bagus ,
559; bisa dipake buat urut badan yang pegel2
560; Dari dulu emg suka sama herborist zaitun ini .  Dah gitu ini muraaaah bangett
561; Lembut dan halus bwt kulit yg kering
562; Suka wanginya...melembabkan...recomended pokoknya mah hehehe
563; Semoga bagus yaa hasilnya karna banyak banget manfaatnya , terima kasih
564; Enak Buat Di Pake d'Pijit .
565; Gk lengket dikulit ..
566; recomended pokoknya mah
567; Bagus buat angkat daki sblm luluran nih
568; Kualitas produk sangat baik
569; Cocok buat ngurut badan gak lengket dipake nya wangi nya juga enak lembut
570; Bagus digunakan untuk pijat dan membuat kulit lembap
571; membuat kulit lembut
572; wanginya wangi zaitun
573; Suka banget sama produknya ,
574; wangi nya ok ..
575; lembut enak dipake
576; enak dipake sebelum luluran
577; Kualitas produk baik ,
578; baunya enak harum dn pas dipakek lembut
579; Cocok banget buat pijat dan luluran di rumah
580; Recomended juga minyak zaitun nya Terimakasih kakak........
581; Sangat bagus,,,trimakasih selalu
582; Original dan wangi lembut
583; wanginya kalem bangett
584; Aku gunakan ini saat kulit lagi kering atau buat mijit hehe
585; Ini enak bgt dipke di tumit kaki dan bagian2 kring lainnya .  Terima kasih ya penjual
586; Bgs buat mjit dan g lengket .. Wangi lagi , Mksh y kak Sllu enaklah aroma minyak zaitun herborist .
587; Manatap pokonya coba peroduk ini memuaskan banget
588; Gemess bangettt dan wangi juga Gemess bangettt dan wangi juga
589; Kerenn wanginya
590; Ngkkkk kecewaaa rekomendasi pokoknya
591; Kecil tapi ngk papa sesuai harga.enak wanginya
592; tahan lama wanginya Terimakasih
593; Minyaknya wangi bagus di pake untuk pijat badan terima kasih sangat berguna
594; Barang Sudah sampai, Bagus Bagus Bagus
595; Semoga ngaruh di wajah .
596; direkomendasikan deh pokoknya
597; Blm aku coba , tp wanginya enak bngt
598; wanginya bikin nagihh
599; Mantapp betulll
600;good
601;  Nice
602;  Ok
603;Bagus
604; Wangi bgttt
605; baunya gk nyengat
606; baik
607; wangi
608; biasa pake buat luluran
609; bikin kulit lebih lembab
610; Minyak Zaitun khasiat dan manfaatnya baik untuk apa saja
611; ga nyangka si bakalan sewangi ini,, sukaaaa,, dan semoga efektif ya
612; Wanginya enak bgt, Harganya juga murah , sangat recomended
613; Gk lengket setelahnya dan wangi
614; Wangi khas zaitun herborist
615; Pake ini kalau pijat enak jadi setelahnya gabau minyak dan ga lengket kemana² pas dipake
616; Wangi , enak lagi dipake manfaatnya okey
617; wangi, lembab , harganya juga terjangkau
618; Udah suka dari dlu dengan herborist zaitun ,
619; mantap
620; Biasanya memang menggunakan ini untuk lulur dan selalu bagus hasilnya ..
621; buat ngurut
622; Aku suka bangettt ga lengket , wangi lagi
623; Untuk bagian kulit yang kering
624; Enak wangi nya ga yang lengket bgt gtuu
625; Suka pakai produk ini , cocok di kulit jadi lembut dan lumayan kualitasnya suka sekali
626; kualitas produk ok bnget
627; wanginya harum
628; wanginya enak
629; wanginya enak, harum, lembut untuk tangan kaki.
630; Bisa digunakan utk rambut , kulit .  dən nguruttt badan .. suka lah dengannn minyak ini
631; Dari dulu emang udah suka Minyak zaitun dari herborist sih krna memang seenak itu wanginya
632; wanginya soft
633; enak banget bangt
634; Herborist minyak zaitun wanginya enak bgttt , lembut dan ga nyegat .  minyak zaitun nya
635; wangiii bgt buset gabisa blg lg gmn wanginya pas pake ini ,
636; wanginya seger
637; Cocok Untuk melembabkan tekstur kulit y dan relaksasi saat pijat
638; Minyak zaitun SUDAH habis 4 botol .. khasiatnya bagus banget buat badan pegelpegel , buat urut buat kerokan semuanya bisa ...
639; ampuh buat kulit kering
640; Wanginya Khas , seger
641; Sejujurnya suka banget Wangi jugaa enak dehh
642; Cukup efektif jika dipakai secara teratur
643; Bagusss bagus bagus sangat bagus
644; Beli minyak zaitun buat tambahin di body scrub hehehe harganya muraah bangeet.
645; Selalu pakai ini buat pijat.
646; sangat wangi
647; Produknya bagus..!!
648; Jatuh cinta sama produk ini wanginya enak banget dan asli banget ,
649; Sumpah ini wangi banget recomended juga harganya worth it banget sukaaaaa
650; suka wanginya enak
651; wanginya enak bangt😍
652; Pake ini kalau pijat enak, jadi setelahnya gk bau minyak dan gk lengket kmana2
653; aku suka gk lengket dan wangi lagi
654; enak wanginya gk yang lengket banget gtu
655; Bagus untuk luluran....
656; bisa buat rambut, kulit dan badan
657; wangi bgt bgt bgt
658; harum
659; nice goood is very good
660; Yuklah dibeli buat mutihin kulit
661; bagus, wanginya kalem
662; Baru pake merk herborist , lebih wangiiii ternyata dari merk lain menurutku ( sesuai selera masing2 ya ) , buat campuran lulur bikin kulit lembaap
663; Untuk kualitas merk ini siy gak usah diragukan lagi
664; wanginya lembut dan tahan lama
665; Bagus banget dengan budget segitu yuhu , terima kasih
666; Harga yg cukup terjangkau, tidak lengket saat diaplikasikan, dan tidak menimbulkan rasa panas setelah dipakai.  Aromanya yang harum tapi tidak menyengat dan mengganggu
667; Minyak Zaitun khasiat dan manfaatnya baik untuk apa saja ga nyangka si bakalan ini,, sukaaaa,, dan semoga efektif ya
668; Wanginya enak , suka banget di pake buat kulit ,
669; lumayan buat urut
670; Dah sering order dan lumayan agak murah karna sering ngurut , jadi dah bersahabat
671; Suka banget sama minyak zaitun ini... wangi na enak... Alhamdulillah
672; Pokonya lembut enak di gunakan
673; Minyak nya wangi , wangi nya enak , tekstur nya cair , bagus deh pokoknya dengan harga segitu
674; wanginya enak kayak wangi bunga campur teh
675; Wanginya enak.
676; Pertama kali beli, baunya kayak minyak angin.  semoga cocok di aku.
677; Wangiiiiiii dapat lagi promo lagi pokoknya sukaaaaa dah , wadahnya imut lagi
678; Dan bagus juga buat muka dijadiin pembersih make up
679; mantullllll
680; bagus saya suka dan juga murah heheheh makasih ya semoga langanan
681; produk original..dan wangi nya buat rilex bgt .. suka buat pijat
682; Wangiii ga lengket
683; Bisa membuat kulit jadi lembut
684; wangi aromaterapi bgt
685; Bagus untuk melembabkan kulit kering atau untuk penggunaan lulur
686; TTOOOOOPPPPPPPPP
687; Layak untuk dibeli
688; oke banget sich
689; Enak di kulit , wanginya segar dan tahan lama
690; Sudah pakai minyak zaitun ini dari smp krna wangi dan banyak khasiatnya
691; Suka sama wanginya enak seger ky luluran
692; sangaaatt wangiiiiiiii
693; Wanginya enak banget.  Ku kira aroma parfum
694; Wanginya sanggaaaatt harruummmm
695; suka banget dengan wanginya sangat suka
696;" baru coba si , jadi kurang tau .  gemoy banget cimit"" gitu wkwk"
697; Belum dipake, sudah selesai di unboxing.  Semoga cocok dan berefek setelah digunakan.
698; sejauh ini oke banget
699; Semoga cocok dan bagus...
700; Minyak zaitun nyaaa akuuuu sukaaaa , wangi nya juga lumayan enakkk ga terlalu nyengat
701; Lebih wangi dari minyak zaitun merk yg biasa saya pakai .. semoga tidak mengecewakan .  Semoga jg minimal kualitasnya sama kaya yg biasa saya pakai .. aamiin
702; kualitas produk baik.
703; bagus, barang bagus, harga murah bagus
704; Wanginya enak bikin lembut di kulit
705;" Mau coba pakai lulur dicampur minyak zaitun "" racun tiktok"
706; Mantapp
707; Bagus bau zaitunnya
708; wangi aromaterapiii
709; Baiikkkkk .. terima kasih ............
710; Suka banget dengan minyak zaitunnya wangiiii..blm tau cocok ap GK dirambut
711; Bagus buat muka bisa bikin cerah
712; Baru nyoba semoga cocok
713; Produk sangat bagus ,
714; Bagus banget pokoknya murah
715; wanginya enaakkk
716; mudah menyerap
717; Baunya enak sih ku suka , ya bagus untuk melembabkan kulit
718; Bagussss.  Melembabkan kulit .  Wanginya juga enak.
719; lembuttt bgt
720; Bagus banget yah yuk bli d sni biar samaan bagus loh yahh ekwkwkkwkwkwkwk
721; Plisss ini direkomendasikan bgt , nyesel baru tahu produk yg enak ini .  Nanti kalo abis aku beli lagi deh disini .  Sejujurnya ini wangi bangettt , bagus juga buat kulit kering kaya siku , tumit dll .  Harganya terjangkau
722; Lucu banget mini gitu hihi .  Kecanduan sama wanginya minyak zaitun jdi cocok buat di bawa kmna2
723; wangi banget Semoga Bermanfaat , belum di pake tapi mau nanti
724; Minyaknya wangi , engga kaya bau minyak zaitun pada umumnya .  Teksturnya agak berbeda sih sama minyak zaitun yang beli di apotek .  Minyak ini kaya lebih cair dan cepat meresap.  Sebenarnya kurang cocok untuk pijit padahal diketerangannya ada untuk pijit .  Tapi gapapa, semoga bermanfaat.  Terimaksih
725; Cepatt serraap
726; Minyak zaitunnya bagus banget , aromanya wangi jadi nyaman banget pakai minyaknya , top pokoknya baunya bagus dicium Bagus
727; Kualitas Produk Baguss
728; Mini mini mini mini .... Herborist minyak zaitunnya Gemooooy lah , tankyou seller
729; baguusssss
730; Wanginya harum bgt ,
731; sesuai pesanan enak bangat wanginyaaa sukaaaaa bangetttt
732; baunya bagus dicium..
733; Top pokoknyaa
734; Karna suka minyak zaitun jdi pengen coba
735; minyaknya lengket
736; wangiiii bgtttt
737; Ini berguna banget sepanjang masa .  Apalagi dicampur sama lulur
738; Klau ini bau nya emg agak lebih nyengat dan si musrat itu yah krn ada parfume nya .  Ksh bintang 4 dl karena br pertama pakai produk ini .  Makasih
739; Melembabkan kulit, untuk terapi juga bisa
740;" kulit Bener "" bagus buat campuran scrub bikin halus"
741; Wangi harum sekali aku suka Harga murah
742; Bagusss sukakk makasiii ,
743; Wangi...udh terima kasih..........
744; cocok untuk pijat dan kulit kering
745; sangat efektif membuat kulit yang kering jadi lembab
746; minyak zaitunnya wangi kalem dan seger dan juga wanginya awett
747; Tekstur cair tapi melembabkan
748; Soo kyut, suka bgtt bgtt.
749; Bagus Biasa aku pake buat wajah
750; Kualitas produk baik , dan harga rekomendasi bgt ..
751; Baru pertama x coba pesen minyak zaitun herborist ... Wanginya enak ... Smoga produknya bagus n Cocok
752; Suka baunya sih enakkk harum enyoy bikin lembab kulit Maaciw seller
753; wanginya lumayan enak, gk terlalu nyengat
754; Suka baunyaa
755; Belom dipake , ntar tak testi lagi kalo udh di pake produk nya original sukaaa dehhh pokoknyaaa
756; kualitas baik , minyak zaitun herborist mantap .  cocok untuk menghilangkan tekstur kasar dikulit
757; Mntepp
758; tahan lama wanginya
759; Sedep bangett wanginya
760; cocok untuk pijat buat kulit yang kering dan campuran untuk luluran
761; wangi enak
762; Worth it dengan harga segitu , wangi ny juga enakkk , bagus buat dipakai sebelum lulur an cepat ,
763; lembut
764; Wangi bunga
765; baru pertama pake, penasaran aja.  wanginya enak.moga manfaatnya .
766; wanginya khas zaitun hehehe yaa lahh namanya juga minyak zaitun wkkwkw tapi bener wangi Minii bgt ternyata haha ​​ga pa2 pengen dicoba dulu lengket apa ga
767; seperti oil pada umumnya
768; suka banget wanginya makasih
769; bagus banget buat menyerahkan si di aku.  aku campur sama handbody gitu .
770; Beli inii buat jaga2 aja siapa tau butuh minyak zaitun karena manfaat minyak zaitun banyak banget untuk kulit dan kecantikan
771; Wanginya bikin tenang
772; Mantap lah saya suka dengan kemasannya yang lucu
773; Mudah menyeraap
774; Mudah2 an mujarab,, blm di coba & di pake , kalau cocok ntar kita order lagi... Ok
775; Buat campuran scrub, atau pengganti lotion.  Melembapkan kulit
776; bagus bgt ngelembapin kulit
777; Suka sama harumnya
778; Wanginya enak banget dan bagus banget digunakan buat campuran scrub dan untuk penggunaan sehari-hari
779; kualitaas produk oke
780;" minyak zaitun tapi wangi melati , suka biasanya kan kalo minyak "" gtu baunya kek bude "" gtu loh , tapi ini beda , bener "" paling beda dr yg lain..."
781; Wangi untuk melembabkan kulit , produk original harga produk baik
782; wangi khas
783; pokoknya Harum , jdi enak utk dipakai urut .  Bagus juga untuk kulit kita .
784; Lumayan buat pijat , harganya Murmer
785; Baru mo nyoba merk ini , smoga cocok , biasanya pk buat urut , teruma kasih
786; enak banget dari wanginya
787; untuk urut dan bersihin kotoran daki2
788; Lucu bgt wadah kecilnya Harga nya juga bersahabat .. Produk bagus , kualitas bagus , suka dengan minyak ini .
789; Biasanya pakai minyak zaitun yg satunya karena di toko ini ga ada yaa coba pake herboris baru pertama kali beli
790; sangat wangi
791; baunya sangat wangi , teksturnya lembut , kalo pke minyak ini ke rambut bisa tahan 2/3 jam terus rambut jdi bagus gak lepek
792; Kualitas produk sangat baik,, wangi banget,,
793; Selalu suka sama rangkaian herborist zaitun , wanginya bikin rileks
794; wanginya enak👍🏻👍🏻👍🏻👍🏻👍🏻
795; Bagus banget , wangi nya bikin candu ♥
796; hrga produk sangat terjangkau
797; produk sesuai pesanan
798; Kualitas produk baik
799; Wanginya ringan tidak menyengat baik digunakan untuk pijit dan melembabkan kulit
800; wanginya enak tidak terlalu menyengat
801; Wanginya ringan tidak menyengat baik digunakan untuk pijit dan melembabkan kulit
802; Maaf baru kasih ulasan , minyaknya bagus , wangi , kemasannya juga rapi
803; lucu di dalamnya ada 2 biji zaitun mungkin ( ? ) , Katanya MINYAK ZAITUN HERBORIST TERDAPAT 1001 MANFAAT , jdi penasaran mau nyoba utk campuran lulur nya , makasihh kaka
804; Wangiiii dan bermanfaat untuk kulit , bagussss ,
805; buat pijat bisa buat perut ibu hamil bisa
806; Sesuai pesanan merk ini baru nyoba semoga cocok aku mah buat perut soalnya lagi
807; minyak zaitun ini biasa aku pakein ke kulit yg kering , besoknya udah jadi lembab dan ga kering lagi
808; berkualitas yah guys..sumpah kerennn bngettt rambut rontokku berkurang..dan juga harga sangat2 ​​murah yahhhhh
809; Multifungsi recomended banget cocok buat di pake di muka berjerawat malem pake ini paginya jerawat pada minggat noda hitam bekas jerawat aja memudar dong sumpah demi apa bagus banget
810; sangat cocok untuk urut dan mengerok badan
811; Bagus banget minyak zaitunya manfaatnya juga banyak banget serbaguna juga dan kemas juga lucu abisss suka pokonya .
812; Minyak zaitun ini sangat bagus dipakai untuk urut , pesan maupun ngerok.
813; Bagus banget minyak zaitunnya, manfaatnya juga banyak, serbaguna juga dna kemasannya juga lucu
814; suka sama produknya ngebantu banget kulit yg kering wanginya enak
815; Minyak zaitun sngat berguna skli maksih
816; Yug nk pesan pelembab wajah dak lagi promo 20rb sudah bpom halal no alkohol Mencerahkan wajah Menutup pori2 Menghilangkan bekas jerawat
817; Kualitas produk sangat baik
818; Bagus untuk pemakaian pertama , langsung ada hasil nya , kulit yang kering jadi lembut , masyaa alloh .
819; Wanginya sy suka , wangi khas minyak zaitun dan wangi lainnya .  Biasa kami pakai utk minyak urut dan luluran
820; Saya pake ini sejak dedek bayi umur 3 bulan sampai sekarang dedek udah umur 7 bulan ... Minyak zaitun sangat banyak manfaatnya terutama untuk kulit bayi
821; bagus untuk mengurangi iritasi kulit
822; wanginya harum , banyak yg rekomendasiin ini buat dipake sebelum lulur
823; Bagus aku suka
824; lembut tdk lengket
825; minyak zaitunnya wanginya lembut gak nyengat , kadaluarsanya juga masih lamaa , semoga bermanfaat + cocok buat aku , makasiihh kaaakk
826; Baunya wangi bangeett .. kya aroma terapi , minyak tapi bukan kya minyak , jdi enak di aplikasikan ke kulit
827; Kegunaan buat angkat make up biar semua luntur baru pakai scrub wash dan lanjut pake facial wash .  Bersiihh hasilnya .  Krn aku bul penggemar air misel
828; kualitas oke saya sdh sering pakai
829; Kualitas produk sangat baik
830; Herborist minyak zaitun serbaguna bgt ini , wanginya enak tp harga terjangkau .
831; efektif buat penggunaan di kulit kering.
832; Bagus makasih next ksni lg mantul top bgt cocok buat anak2 hangat t cocokk laris manis tx matursuwun
833; Sesuai yg saya inginkan
834; Mantap super
835; Mantap jiwa
836; Okeeee....
837; Alhamdulillah barangnya sdh sy trima ,, Dan sangat sesuai sekali ,, Jozzz pokoknya
838; Wanginya enak.  Cocok untuk melembabkan kulit.
839; Usia remaja sampai lansia cocok menggunakan minyak zaitun
840; enak dipakai untuk pijat tubuh
841; Melembabkan saat kulit kering ,
842; wanginya soft dan tidak lengket
843; kereenn wanginya
844; bestt wanginya
845; sangat berguna sekali buat kulitku
846; pas banget dipake bareng lulur
847; mantap bgtttttttt
848; cocok dipake buat siapa saja,
849; bisa digunain buat pijit dan juga ngebantu lembapin kulit yang suka kering
850; Bagus baguusss bagus banget nih produknya .
851; Aromanya harum ... jadi suka banget ..
852; cocok untuk pijet
853; menghaluskan kulit , untuk pijat urut
854; bau nya wangi
855; tidak lengket di tangan
856; Berfungsi dengan sangat baik .  Sangat bagus.
857; kualitas bagus makasih kak
858; Worth to buy Bagus.  Wanginya enak
859; Suka banget sama produknya Cocok .
860; Harum , mudah nyerap di badan original kualitasnya
861; Sangat bagus lembut di kulit
862; Kualitas bagus
863; Kualitas produk baik
864; Aku suka wanginya.
865; Baunya harum ... Enak buat pijat ... Kayaknya bakal beli lagi ...
866; Baunya harum tidak lengket di kulit
867; Cocok banget untuk kelembutan rambut cocok untuk semua badan sih
868; bagus bngt
869; goooodd
870; wanginya enak banget
871; Produknya original , bagus
872; Suka karena wangi .  Lembab banget.  Sering ditaruh di bagian  yang kering banget .
873; Loveeee
874; bisa ngilangin flek2 hitam diseluruh tubuuhh
875; Harum sesuai ekspektasi Minyak zaitun ini langganan bgt dari sebelum punya anak sampe skrg ,
876; Pingin beli lagiiii saya
877; Good job👍🏻
878; Gooooooddddddd Terima kasih kakak , semoga memuaskan
879; Wangi lembut.  Khas herbo.
880; melembabkan
881; Wangi n bisa buat rambut juga ..... sukaaaaaa .....
882; Rekomended
883; segar dipakai, aman wanginya
884; wangi sekalii
885; Produk ini sangat laris di kalangan masyarakat krna bnyak yg cocok memakai produk ini ...
886; Wanginya sama kaya beli di officiall
887; Sangat bagus di gunakan di kulit dan membuat kulit tidak kering .  Kualitas produk baik, dan original.
888; Karena produk herborist sangatlah cocok untuk segala jenis kulit tubuh mudah mudahan bagus Bagus , original ,
889; sangat cocok untuk memanjakan kulit
890; cocok untuk pijet hehehe
891; Wangi minyak zaitunnya enaa pol , murah meriah
892; Bagus bagus bagus , Harga murce banget loh
893; Bagus murmer dan cepat sampai baguslah mantap pertahankan kualitas yaa kak trimakasih
894; tahan sampai 1 harian
895; baunya uenakkkkk bangettt huarummm sukakkkk
896; Suka bnget minyak zaitun herborist wangi nya enk .
897; melembab kan dan mencerahkan
898; pokonya wanginya sedapppp tahan lama juga suka bgt
899; nex order lg
900; Herborist gapernah salah sih .  Kualitasnya jelas oke.
901; untuk menghaluskan dan melembutkan kulit dan untuk pijat jg
902; Produk nya bagus
903; membuat kulit lebih halus ,, bau nya enak bnget ,, nanti klo habis next order ,,
904; suka banget.... Warna Nya sesuai..bahannya enak adem ga gerah .. Dengan harga segitu worth to buy sih...
