No.;komentar
58;Ini wanginya seriusan enak banget , botolnya juga plastik tebal gitu jadi gak gampang pecah kalau kebanting .  Oke banget deh
59;Pertama kali nyoba minyak zaitun nya udah langsung suka banget sih sama wangi nya Terima kasih.
60;Wanginya harum banget, suka deh!!!  Makasih banyak ya
61;Selalu suka sama minyak zaitun herborist wanginya tahan lama dan tidak membuat iritasi pada kulit.
62;wanginya enak , menenangkan bgt , dipake buat scrub atau luluran enak juga , mantep deh .  terima kasih herborist
63;selalu stok oil ini , untuk pijat dan olesin si doggy , wangi bangeet
64;Produknya bagus bgt buat melembabkan kulit kering , buat rambut jga bagus .
65;Ini untuk ayah saya yg kulitnya kering baunya harum , thanks
66;Kalo dipake langsung tuhh dia enak banget !  Karna cepat menyerap dan tidak lengket !  Terus dia ini manfaatnya banyak banget karna bisa dipake dari ujung kepala sampe ujung kaki + bisa dicampur pake apa aja !  Suka banget!!
67;Minyak zaitun favorit , selalu pakai minyak ini buat pengganti lotion kalo malam .  Minyaknya cepat meresap ke kulit , buat kulit lembut dan halus , aromanya wangi khas herborist .
68;Akhirnya paketku telah tiba.  Dia baunya wangi .  Cocok untuk pijat oksitosin buat ibu menyusui .  Melembabkan juga bisa dicampur handbody .  Terbaik ini mah.
69;Kualitas barang ok dan lembut serta harum .  Cocok juga untuk pijat.
70;ini enakkk bgttt wangi nya juaraa!!!  bakal repurchase lagi wangi ,
71;cocok dipake buat melembabkan kulit yg kering , bagus buat sebelum luluran juga.
72;Wanginya enaakk, sukaa deeh
73;Wanginya enak dan juga gampang dipakee
74;wangi banget dan packing aman, jadi gak pecah dijalan
75;Bisa untuk minyak urut juga Herboristnya baru sampai Buat ngurut enak dipakai Makasih ya
76;Minyak zaitun Bermanfaat untuk melembabkan kulit yg kering .
77;Wangi cair enak semoga bermanfaat dan berfungsi dengan baik , bagus untuk dipakai sebelum luluran.
78;Melembutkan dan menghaluskan tubuh
79;Kemasannya lucu
80; banget bentuk botolnya gemes.
81;Bagus banget kalian wajib beli ya tuhan!!  Rekomended banget si melebihii ekspetasii huhuu sukaa bangett bangettt wangi bgt lagii
82;Baik digunakan sebagai pembap kulit, terutama kulit yang kering atau sangat kering.  Minyak ini akan menutrisi dan merawat elastisitas kulit , membuat kulit lebih lembut dan bercahaya , serta mencegah penuaan dini pada kulit bagus.
83;Semua pasti udah tau kualitasnya , bagus bagus dan baguss
84;Wangi nya enak seger parah , paketnya bagus , untuk size nya mini bisa di bawa ke mana aja anti ribet jika tas mu kecil .  Terima kasih herborist minyak zaitun.
85;minya zaitunnya wangi nya nampolll Enak banget dipake lulurannnnn lembut pokonya wanginya bikin ademm.
86;Pertama kenal minyak herborist kni langsung suka sama wanginya.
87;GILAK SUMPAH WANGINYA ENAK BANGET .  ADEM BANGET HUHUHU. Semoga cocok
88;Wangii makasiii❤️
89;Sudah tidak perlu ragu lagi karena memang hari - hari ku selalu menggunakan produk dari Herborist
90;wangi banget , kaya ada parfumnya Aku belinya yg ukuran 75 ml cocok buat dibwa2 , lucu ukurannya
91;Minyak zaitunnya wangi bunga , gak lengket.
92;hihi makasih bunda / ayah Wangi khas, enak untuk pijat  , tidak lengket dan licin
93;Wangi cocok pijit banget sesuai ekspektasi sih .
94;Cocok untuk digosok2 dengan wangi yg bener bener lembut bgt .  Okey bgt deh..
95;Mantul minyak zaitun mantap , wangi baunya , udah beli 2x
96;Wangi nya gak terlalu nyentrik jadi masih enak di hidung yg sensitif sm aroma nyentrik , lumayan buat kalau di pakai pijat.
97;Melembabkan kulit dan mengangkat kotoran pada kulit .
98;Wanginya enakk.
99;Herborist ga diragukan lagi yakan , minyak zaitun juga banyak fungsinyaaa , trus aku beli pas diskon huhuu , murah banget dan aweet❤
100;Tekstur tidak lengket, merawat kulit yang kering  dan wangi
101;Baru aja dipake buat pijat, langsung semerbak wanginya dan bikin kulit terasa lebih elastis, Ga juga lengket .
102;Suka pakai minyak zaitun..ini pembelian ke 2 minggu2 ini, botol kecil gamoang dibawa travelling.
103;Aku biasa pake minyak zaitun sblm luluran , setelah 2 menit baru di lanjut pake lulurnya, hasilnya akan te maksimal, kulit halus dan wangi.
104;Paling suka sama olive oil nya herboris , wanginya menenangkan dn aku pakai tiap malam buat tumit siku.
105;Wanginya bali bangett, enak di pakai badan terasa lembut Makasihh..
106;Mantap banget dan wangi minyak zaitunnya  Recomended banget.
107;bagus buat sblm luluran atau pijat Wangi dan enak nyaman di hidung
108;Wanginya lembut , efektiv buat di aplikasikan ke kulit .  Bikin lembab dan nyaman
109;Dari dulu suka pakai ini wangi nya juga enak cocok buat pijit .  Terima kasih
110;Lumayan dpt harga 14rb untuk 75ml , buat strectmark bagus bgt .  Ga menghilangkan tp menghambat utk lebih parah.
111;Wangi dan lembut juga tidak lengket di badan .  Sukaaaa banget dech sama wangi dan tekstur nya.. Trimakasih ya
112;Pake ini buat urut sekalian buat malam2 biar anak2 gak di gigit nyamuk ampuh bangettttt... Cuma sehari sampeeeee happy bangetttt
113;Efektif untuk pijat, wanginya lembut, khas minyak zaitun.
114;Harumnya enak banget, aku beli buat melembabkan kulit dan mencegah stretchmark semoga ngaruh.
115;First time aku pake minyak zaitun buat wajah .  Alhamdulillah cocok, ihi. Dan  produknya ini wangi banget , bau melati.
116;Wanginya enak banget , harum, lembut di kulit. Udah beli kesekian sekali ini Suka banget alhamdulillah
117;Produk original  wanginya enak bgt,bikin rileks.  Belum dicoba, semoga cocok
118;murah , wangi zaitun dan melembabkan kulit.
119;Wanginya enak banget bertahan wanginya.. tekstur mudah meresap dan ga lengket. cukup mengurangi kulit yg kering.
120;Selalu suka sm zaitun herborist hehe wanginya enak aja beda gatau kenapa.
121;Wangi nya bisa jadi Aromaterapi banget bikin tambah nyaman pakai nya
122;Efektif banget buat kulit lembab dan wangi.
123;Yeaaayyy akhirnya sampai juga , siapa yang ga tau kalau minyak zaitun itu bagus banget buat kulit , the best lah pokoknya.
124;Minyak nya wangi bangett enak wangi nyaa.
125;Best banget karena aromanya enak banget & bikin. Saat diaplikasikan ke siku sama sekali tidak lengket dan membuat lembab. Harga terjangkau tapi kualitasnya bagus banget. Pokoknya suka banget sama produk ini.Enggak bakalan nyesel beli produk ini .
126;Wangi zaitunnya enaak ga salah milih
127;Direkomendasikan buat yang memiliki kulit kering, atau ingin menambah kelembaban kulit, karena Herborist Minyak zaitun ini kaya akan vitamin E dan antioksidan melembabkan kulit yang kering. Membuat kulit lebih lembut, wangi aroma terapi yang merelaksasi, dengan biji mojokeling untuk menjaga elastis.
128;Wangi, cocok dipake buat melembabkan kulit yg kering, bagus buat sebelum luluran juga.
129;Tekstur oily dan harum puas sekali sesuai pesanan.
130;ini enakkk bgttt wangi nya juaraa!!!  akan membeli kembali lagi.
131;Dari dulu suka sekali herborist minyak zaitun.  Karena teksturnya enak di kulit, wanginya elegan jadi gak malu, dan dikulut sangat nyaman.
132;Wanginya wangiiiiiii banget suka suka suka  Terima kasih.
133;Agak cair dan wangii sekalii.
134;minyak zaitunnya aku suka wangi gitu enak di pakai.
135;Wangi nya enak banget .  Makasih bangeeeeeet
136;Udh jadi kebutuhan wajib ini. Banyak banget manfaatnya.
137;Wanginya suka bangeeet
138;Wangi banget
139;Teksturnyaa lembut ditangan.
140;Belum coba sih semoga bagus yaa , dan juga wangi.
141;Ini mah imut imut menggemaskan, wangi nya harum bangeet meski gak tau kegunaanya tapi suka ja pgeen beli stlah beli sejatuh cintanya ja sama zaitun ini.
142;Wangi nya bikin santai, sukaakkkk
143;Wahh wangi banget minyak nyaaa, gtu wanginya lembut dan ga bikin pusing meskipun wanginya semerbak sekali. Tidak menimbulkan iritasi juga.  Rileks pokoknya
144;Semoga beneran bagus buat kulit jd bisa beli ini terus aja wangi juga minyak nya.
145;Wangi nya dominan melati bgt, aku blm coba sih. Tapi wanginya kuat bgt, ga terlalu baik.
146;wangiiii alamii bgt , nyaman dipakai setiap hari kemasannya yg bagusss.
147;Harumnya membuat kulit rileks dan melembutkan tanpa bikin iritasi.
148;Bagus bgt enak wangi¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ bakal beli lagi.
149;Wangi banget!  Enak pokonya recomended.
150;Buat kerokan / urut enak pake ini wangi.
151;Cocok untuk pijat aromanya enak banget.
152;Wanginya harum, tidak menyengat, tidak lengket dikulit, kulit jadi lembut.
153;Wangi dan jugaa haluss dikulit
154;Recomended banget nihh...enak di pakai....
155;Belum tau bagus apa enggak soalnya baru beli,semoga cocok, Terima kasih
156;Enak bgt buat body massage, wangi, lembut.
157;rilekss bangeett dikulitt..
158;Produk nya wangi bangett juga ternyataa, sukaa
159;Bagus bgt, minyak zaitunnya wangi dan aman sampe rumah.
160;Wanginya lembut.. bagus untuk pijat sebelum lulur katanya.
161;Wangi dan cocok dikombinasikan buat luluran
162;Wangii bangett dan sukaaa bangett
163;banyak bangett manfaatnya, makasih
164;Wanginyaa calm dan gk bikinn bosen
165;Cocok dipake buat melembabkan kulit yg kering, bagus buat sebelum luluran juga.
166; Harumnya enak bangett, dan juga lembutt
167; Bisa digunakan buat sebelum luluran
168; Bikin kulit lebih lembutt, sukaaa.
169; Wanginya enaakk bangett, enak di pakai badan terasa lembut....
170; Selalu suka sama minyak zaitun herborist wanginya tahan lama.
171; Wangi dan tidak membuat iritasi pada kulit.
172; Cocok untuk di apply sebelum luluran
173; Sukaa bangett sama produk inii.
174; Wanginya enakk dan tahann bangeet
175; Waah produknya ternyata wangii banget...
176; Lembutt dikulit dan juga gampang dipake.
177; Bisa untuk minyak urut juga,, rilekss
178; Ringan saat diaplikasikan dan wangii
179; Sudah menggunakan minyak ini sejak dulu dan bikin kulit lebih lembut juga.
180; Wanginya bikin santai dan nyaman dipake dikulit.
181; Bisa dipake buat minyak urut juga
182; Bikin kulitt lebih lembab
183; Melembabkan kulit yang sering kering
184; Wanginya kek bau parfume tapi sangat khas
185; Minyaknya wangi harum, cairannya bening
186; Wanginya sangatt meresapp dan juga khas
187; Katanya bagus di olesin ke kulit sebelum luluran, belum coba sih.
188; Melembabkan kulit...terumata kaki, dan kulit - kulit yang terkelupas..
189; di akuu cocok bangett, makasih..
190; Mantull bangett minyaknya
191; Enakk pas dipake gk terlaluu oily
192; Bisa dipakee buat kerokann dan urutt badan
193; Untuk kualitasnya udah gk diragukan lagii, bagus bangett
194; Minyak ini  menutrisi dan merawat elastisitas kulit..
195; Baik digunakan sebagai pelembap kulit, terutama kulit yang kering atau sangat kering.
196; Membuat kulit lebih lembut dan bercahaya, serta mencegah penuaan dini pada kulit bagus.
197; Wanginyaa soft bangettt, sukaaa
198; Cocok banget untuk kulit yang sering kering
199; Wanginyaaa mantapp juaaraaa!!
200; Enak sih.  Suka di pake buat luluran, jadi ada efek cerah ke kulit nya kalo di campur sama lulur
201; Minyak harum, masih mau coba pakai.
202; Wanginya enaakk, mantap
203; Terimakasih minyak zaitun nya sudah sampai Bagus minyak nya wangi Aku suka wangi nya.
204; Minyak yang biasa familiar di kalangan masyarakat indonesia untuk pijat memijat, dengan tekstur yang lembut dan nyaman Ter luv.
